"ID (do not edit)","Where it appears","TEXT — edit this column","Notes"
"title.tabTitle","Title screen","Master Z’s Encounters — The Game","Browser tab name"
"title.logoAlt","Title screen","Master Z’s Encounters — The Game","Read aloud by screen readers"
"title.headingPlain","Title screen","Master Z’s Encounters — The Game","Only shows if the logo image fails to load"
"title.intro","Title screen","A void deck. A stairwell. A hotel corridor at 3 AM. Ordinary places on the wrong night, and in each one, something you have to decide how to answer.","THE paragraph under the logo"
"title.start","Title screen","Start game",""
"title.continue","Title screen","Continue","Replaces ""Start game"" when a saved run is waiting"
"title.resumeNote","Title screen","Picking up where you left off · {chapter}","The small line under Continue — {chapter} is filled in for you"
"title.newGame","Title screen","Start a new game","The small link under Continue"
"title.chapters","Title screen","Episodes","The button under it that opens the chapter selector"
"title.controlsDesktop","Title screen","<b>Desktop</b> · W A S D to walk, move the mouse to look, <b>E</b> to interact with objects","Keeps <b>bold</b> formatting"
"title.controlsPhone","Title screen","<b>Phone</b> · left thumb walks, right thumb looks, <b>tap</b> objects to interact with them","Keeps <b>bold</b> formatting"
"title.credits","Title screen","Credits",""
"credits.heading","Credits panel","Credits &amp; Attributions","Write &amp; for an ampersand"
"credits.intro","Credits panel","Creative works by other people used in this game, with thanks.",""
"credits.music","Credits panel","Music",""
"credits.musicWho","Credits panel","Leberch · Pixabay",""
"credits.musicLink","Credits panel","pixabay.com/users/leberch-42823964","The blue link text only"
"credits.hands","Credits panel","Hands and arms",""
"credits.handsWho","Credits panel","First person arms · Fab",""
"credits.handsLink","Credits panel","fab.com/listings/c9b121d9","The blue link text only"
"credits.ghost","Credits panel","Ghost",""
"credits.ghostWho","Credits panel","Kuntilanak, Indonesian ghost · Sketchfab",""
"credits.ghostLink","Credits panel","sketchfab.com · kuntilanak-indonesian-ghost","The blue link text only"
"credits.block","Credits panel","HDB block",""
"credits.blockWho","Credits panel","HDB · Sketchfab",""
"credits.blockLink","Credits panel","sketchfab.com · hdb","The blue link text only"
"credits.mum","Credits panel","The mother",""
"credits.mumWho","Credits panel","Casual woman in brown dress, rigged · Sketchfab",""
"credits.mumLink","Credits panel","sketchfab.com · casual-woman-in-brown-dress",""
"credits.chair","Credits panel","The chairs",""
"credits.chairWho","Credits panel","Plastic chair · Sketchfab",""
"credits.chairLink","Credits panel","sketchfab.com · plastic-chair",""
"credits.cars","Credits panel","The cars",""
"credits.carsWho","Credits panel","Low poly cars · Sketchfab",""
"credits.carsLink","Credits panel","sketchfab.com · low-poly-cars",""
"credits.guangong","Credits panel","The altar statue",""
